,Genes,Norm_Symbol,Phosphosite_hu_no
2719,CFC1,CFC1,1
2720,CFDP1,CFDP1,13
2721,CFH,CFH,11
2722,CFHR1,CFHR1,1
2723,CFHR2,CFHR2,2
2724,CFHR3,CFHR3,4
2725,CFHR4,CFHR4,5
2726,CFHR5,CFHR5,4
2727,CFI,CFI,5
2728,NUDT21,NUDT21,8
2729,CFLAR,CFLAR,9
2730,CFP,CFP,2
2731,CFTR,CFTR,42
2732,CGA,CGA,1
2733,CGAS,CGAS,15
2734,CGB3,CGB3,6
2735,CGB1,CGB1,7
2736,CGB2,CGB2,5
2737,CGGBP1,CGGBP1,7
2738,TRMT6,TRMT6,23
2739,TPPP3,TPPP3,3
2740,CGN,CGN,58
2741,CGNL1,CGNL1,46
2742,CRCP,CRCP,5
2743,CGRRF1,CGRRF1,2
2744,CHAC1,CHAC1,3
2745,CHAC2,CHAC2,3
2746,CHADL,CHADL,1
2747,TRPM7,TRPM7,70
2748,TRPM6,TRPM6,19
2749,CHAT,CHAT,17
2750,CHCHD10,CHCHD10,1
2751,CHCHD2,CHCHD2,2
2752,CHCHD3,CHCHD3,14
2753,CHCHD4,CHCHD4,2
2754,CHCHD6,CHCHD6,13
2755,CHCHD7,CHCHD7,2
2756,COA4,COA4,1
2757,CHD1,CHD1,100
2758,CHD2,CHD2,70
2759,CHD3,CHD3,69
2760,CHD4,CHD4,73
2761,CHD5,CHD5,19
2762,CHD6,CHD6,63
2763,CHD7,CHD7,71
2764,CHD8,CHD8,80
2765,CHD9,CHD9,72
2766,CHD1L,CHD1L,26
2767,CHDH,CHDH,3
2768,CHERP,CHERP,40
2769,CHFR,CHFR,11
2770,CHGA,CHGA,19
2771,CHGB,CHGB,34
2772,CSGALNACT1,CSGALNACT1,8
2773,CHI3L1,CHI3L1,2
2774,CHI3L2,CHI3L2,5
2775,CHIA,CHIA,2
2776,CHIC1,CHIC1,1
2777,CHIC2,CHIC2,1
2778,CHID1,CHID1,6
2779,STUB1,STUB1,10
2780,CHIT1,CHIT1,2
2781,CHEK1,CHEK1,30
2782,CHEK2,CHEK2,42
2783,CHKA,CHKA,7
2784,CHKB,CHKB,8
2785,CHL1,CHL1,17
2786,CHM,CHM,13
2787,CHML,CHML,8
2788,CHMP1A,CHMP1A,16
2789,CHMP1B,CHMP1B,5
2790,CHMP2A,CHMP2A,13
2791,CHMP2B,CHMP2B,12
2792,CHMP4A,CHMP4A,3
2793,CHMP4B,CHMP4B,9
2794,CHMP4C,CHMP4C,6
2795,CHMP5,CHMP5,8
2796,CHMP6,CHMP6,3
2797,CHMP7,CHMP7,12
2798,CHODL,CHODL,6
2799,CHORDC1,CHORDC1,17
2800,CHP1,CHP1,6
2801,CHP2,CHP2,4
2802,CHPF,CHPF,7
2803,CHPT1,CHPT1,1
2804,CHRAC1,CHRAC1,1
2805,CHRD,CHRD,5
2806,CHRDL1,CHRDL1,4
2807,CHRDL2,CHRDL2,3
2808,MLXIPL,MLXIPL,17
2809,CIART,CIART,6
2810,CHST1,CHST1,7
2811,CHST12,CHST12,3
2812,CHST13,CHST13,3
2813,CHST14,CHST14,4
2814,CHST15,CHST15,8
2815,CHST2,CHST2,1
2816,CHST3,CHST3,2
2817,CHST4,CHST4,7
2818,CHST5,CHST5,4
2819,CHST6,CHST6,7
2820,CHST7,CHST7,4
2821,CHST8,CHST8,2
2822,CHST9,CHST9,4
2823,CHSY1,CHSY1,10
2824,CHTF8,CHTF8,10
2825,CHTOP,CHTOP,7
2826,VSX2,VSX2,5
2827,CIAO1,CIAO1,4
2828,BIRC2,BIRC2,9
2829,BIRC3,BIRC3,9
2830,CIAPIN1,CIAPIN1,17
2831,CIB1,CIB1,3
2832,CIB2,CIB2,5
2833,CIB3,CIB3,1
2834,CIB4,CIB4,1
2835,CIDEA,CIDEA,3
2836,CIDEB,CIDEB,2
2837,CIITA,CIITA,14
2838,CILP,CILP,15
2839,CILP2,CILP2,8
2840,CINP,CINP,7
2841,SARNP,SARNP,14
2842,CIP2A,CIP2A,15
2843,CIPC,CIPC,12
2844,CIR1,CIR1,33
2845,CIRBP,CIRBP,27
2846,CIRBP-AS1,CIRBP-AS1,3
2847,UTP4,UTP4,5
2848,CISD2,CISD2,3
2849,CISH,CISH,4
2850,CITED1,CITED1,2
2851,CITED2,CITED2,3
2852,CIZ1,CIZ1,45
2853,CSNK1A1,CSNK1A1,24
2854,CSNK1A1L,CSNK1A1L,9
2855,CSNK1D,CSNK1D,25
2856,CSNK1E,CSNK1E,23
2857,CSNK1G1,CSNK1G1,16
2858,CSNK1G2,CSNK1G2,23
2859,CSNK1G3,CSNK1G3,24
2860,CSNK2A1,CSNK2A1,23
2861,CSNK2A2,CSNK2A2,12
2862,CSNK2B,CSNK2B,17
2863,CKAP2,CKAP2,46
2864,CKAP2L,CKAP2L,40
2865,CKAP4,CKAP4,29
2866,CKAP5,CKAP5,44
2867,CKB,CKB,24
2868,CKLF,CKLF,2
2869,CKM,CKM,25
2870,CKMT1B,CKMT1B,13
2871,CKMT2,CKMT2,24
2872,CKS1B,CKS1B,9
2873,CKS2,CKS2,6
2874,CLASP1,CLASP1,146
2875,CLASP2,CLASP2,123
2876,CLSPN,CLSPN,71
2877,CLDN1,CLDN1,5
2878,CLDN10,CLDN10,10
2879,CLDN11,CLDN11,5
2880,CLDN12,CLDN12,8
2881,CLDN14,CLDN14,4
2882,CLDN15,CLDN15,3
2883,CLDN16,CLDN16,5
2884,CLDN17,CLDN17,2
2885,CLDN18,CLDN18,14
2886,CLDN2,CLDN2,8
2887,CLDN23,CLDN23,5
2888,CLDN3,CLDN3,11
2889,CLDN4,CLDN4,7
2890,CLDN5,CLDN5,7
2891,CLDN6,CLDN6,9
2892,CLDN7,CLDN7,8
2893,CLDN8,CLDN8,8
2894,CLDN9,CLDN9,5
2895,CLBA1,CLBA1,3
2896,CLC,CLC,3
2897,CLCA1,CLCA1,12
2898,CLCA3P,CLCA3P,3
2899,CLCA4,CLCA4,4
2900,CLCA2,CLCA2,6
2901,CLCC1,CLCC1,21
2902,CLCF1,CLCF1,3
2903,CLCN1,CLCN1,7
2904,CLCN2,CLCN2,18
2905,CLCN3,CLCN3,8
2906,CLCN4,CLCN4,5
2907,CLCN5,CLCN5,4
2908,CLCN6,CLCN6,8
2909,CLCN7,CLCN7,15
2910,CLCNKA,CLCNKA,2
2911,CLCNKB,CLCNKB,4
2912,CLDND1,CLDND1,3
2913,CLEC10A,CLEC10A,3
2914,CLEC12A,CLEC12A,3
2915,CLEC12B,CLEC12B,2
2916,CLEC14A,CLEC14A,2
2917,CLEC16A,CLEC16A,10
2918,CLEC17A,CLEC17A,2
2919,CLEC18A,CLEC18A,2
2920,CLEC18C,CLEC18C,1
2921,CLEC1B,CLEC1B,6
2922,CLEC2B,CLEC2B,2
2923,CLEC2D,CLEC2D,3
2924,CLEC2L,CLEC2L,2
2925,CLEC3A,CLEC3A,2
2926,CLEC4A,CLEC4A,2
2927,CLEC4E,CLEC4E,4
2928,CLEC4F,CLEC4F,7
2929,CLEC4G,CLEC4G,1
2930,CLEC4M,CLEC4M,7
2931,CLEC9A,CLEC9A,4
2932,CLECL1,CLECL1,2
2933,CLGN,CLGN,8
2934,CLHC1,CLHC1,2
2935,CLIC1,CLIC1,16
2936,CLIC2,CLIC2,6
2937,CLIC3,CLIC3,4
2938,CLIC4,CLIC4,8
2939,CLIC5,CLIC5,9
2940,CLIC6,CLIC6,16
2941,STK35,STK35,14
2942,PDIK1L,PDIK1L,3
2943,PDLIM1,PDLIM1,31
2944,CLIP4,CLIP4,18
2945,CLIP3,CLIP3,10
2946,CLK1,CLK1,29
2947,CLK2,CLK2,37
2948,CLK3,CLK3,25
2949,CLK4,CLK4,22
2950,SPRYD7,SPRYD7,2
2951,CLMN,CLMN,36
2952,CLN3,CLN3,10
2953,CLN5,CLN5,1
2954,CLN6,CLN6,4
2955,CLOCK,CLOCK,18
2956,CLPB,CLPB,7
2957,CLPP,CLPP,6
2958,CLPS,CLPS,2
2959,CLPSL2,CLPSL2,1
2960,CLPTM1,CLPTM1,12
2961,CLPTM1L,CLPTM1L,10
2962,CLPX,CLPX,20
2963,CLRN3,CLRN3,2
2964,CLSTN1,CLSTN1,4
2965,CLSTN2,CLSTN2,5
2966,CLSTN3,CLSTN3,6
2967,CLTA,CLTA,13
2968,CLTB,CLTB,8
2969,CLTC,CLTC,72
2970,CLTCL1,CLTCL1,29
2971,CLU,CLU,15
2972,CLUAP1,CLUAP1,6
2973,CLUL1,CLUL1,4
2974,CLYBL,CLYBL,4
2975,CMA1,CMA1,3
2976,CMAS,CMAS,5
2977,CMBL,CMBL,9
2978,CMC1,CMC1,2
2979,CMC2,CMC2,3
2980,CMIP,CMIP,25
2981,CMKLR1,CMKLR1,8
2982,ACKR3,ACKR3,9
2983,CMPK1,CMPK1,10
2984,CMPK2,CMPK2,1
2985,CMSS1,CMSS1,7
2986,CMTM1,CMTM1,11
2987,CMTM4,CMTM4,7
2988,CMTM6,CMTM6,5
2989,CMTM7,CMTM7,1
