Genes,PhosNo,Norm_Symbol
COL11A2,4,COL11A2
ADRB3,1,ADRB3
GTF2F2,7,GTF2F2
HRES1,5,HRES1
CCDC130,19,CCDC130
MTHFD2,4,MTHFD2
HSD3B1,2,HSD3B1
HSD17B1,2,HSD17B1
CTSE,2,CTSE
GFAP,15,GFAP
SELL,1,SELL
MIF,2,MIF
CD99,3,CD99
HGF,5,HGF
PRKCSH,11,PRKCSH
IRF2,3,IRF2
HCLS1,22,HCLS1
FDPS,2,FDPS
TRIM27,7,TRIM27
COX7A2,2,COX7A2
SI,7,SI
ATP1B2,4,ATP1B2
NID1,5,NID1
AKR1A1,7,AKR1A1
NCF1,11,NCF1
INSRR,1,INSRR
PKM,63,PKM
ACYP2,1,ACYP2
HSP90B1,59,HSP90B1
CCNB1,7,CCNB1
MYL6B,4,MYL6B
HOXB3,8,HOXB3
HOXB2,3,HOXB2
HOXB1,1,HOXB1
SLC2A4,2,SLC2A4
SNRPB,1,SNRPB
IDE,11,IDE
IL1R1,2,IL1R1
MMP9,7,MMP9
COX6B1,1,COX6B1
POU2F1,22,POU2F1
HNRNPL,34,HNRNPL
GABRA1,1,GABRA1
DARS,11,DARS
IDO1,2,IDO1
DAO,1,DAO
ETS1,17,ETS1
JUP,30,JUP
UQCRB,2,UQCRB
ETS2,8,ETS2
BRAF,32,BRAF
CPA1,3,CPA1
CPA3,3,CPA3
GLUL,14,GLUL
AKR1B1,18,AKR1B1
ANPEP,9,ANPEP
PVR,5,PVR
RAC2,4,RAC2
CPN1,2,CPN1
GSPT1,18,GSPT1
MYOD1,1,MYOD1
MYOG,2,MYOG
PGAM2,11,PGAM2
IFNGR1,18,IFNGR1
B4GALT1,2,B4GALT1
ACPP,1,ACPP
EZR,20,EZR
ATP6V1B1,6,ATP6V1B1
ATF2,32,ATF2
UCHL3,11,UCHL3
CD19,8,CD19
FOSL1,15,FOSL1
FOSL2,27,FOSL2
GYPE,1,GYPE
HPGD,3,HPGD
VAV1,14,VAV1
CD46,44,CD46
NME1,7,NME1
NQO1,9,NQO1
GNS,2,GNS
ZNF44,11,ZNF44
ZNF250,14,ZNF250
VEGFA,1,VEGFA
PHKG2,7,PHKG2
CD1E,1,CD1E
CD1D,3,CD1D
IGLL1,3,IGLL1
HIVEP1,118,HIVEP1
ARSB,2,ARSB
PAX1,3,PAX1
RPS2,24,RPS2
CHN1,6,CHN1
TCF4,34,TCF4
ST6GAL1,6,ST6GAL1
RAG1,5,RAG1
TCF3,36,TCF3
DSP,121,DSP
RPA2,5,RPA2
MUC1,27,MUC1
COX7C,1,COX7C
GATA1,4,GATA1
ALOX15,1,ALOX15
NPR1.00,5,NPR1.00
CD44,16,CD44
NQO2,5,NQO2
H2AFX,10,H2AFX
SELP,4,SELP
ACAN,6,ACAN
PFKFB1,13,PFKFB1
ITGB4,86,ITGB4
SPN,13,SPN
CBR1,11,CBR1
ANK1,65,ANK1
CREB1,15,CREB1
PNLIP,2,PNLIP
PDGFRA,16,PDGFRA
SLC25A16,1,SLC25A16
GLB1,7,GLB1
PECAM1,20,PECAM1
PPP3CB,5,PPP3CB
NCK1,25,NCK1
GCFC2,39,GCFC2
KCNA2,6,KCNA2
HIST1H1B,24,HIST1H1B
HIST1H1D,22,HIST1H1D
HIST1H1C,20,HIST1H1C
CTLA4,2,CTLA4
ZNF823,7,ZNF823
POR,7,POR
ABO,2,ABO
EPB42,4,EPB42
MGMT,5,MGMT
PRLR,3,PRLR
TSHR,2,TSHR
PDE6A,3,PDE6A
PCSK2,1,PCSK2
GNB3,1,GNB3
CRISP2,2,CRISP2
SELE,3,SELE
FER,11,FER
ATP2A2,36,ATP2A2
UGT2B7,1,UGT2B7
CD36,2,CD36
NPPB,1,NPPB
IL7R,5,IL7R
PLCG2,32,PLCG2
FAH,2,FAH
STMN1,12,STMN1
YBX3,31,YBX3
ZFX,11,ZFX
ZNF12,10,ZNF12
ZNF14,14,ZNF14
ZNF708,10,ZNF708
ZNF16,5,ZNF16
ZNF17,5,ZNF17
ZNF18,2,ZNF18
ZNF19,3,ZNF19
ZNF20,8,ZNF20
ZNF182,6,ZNF182
ZNF22,7,ZNF22
ZNF23,7,ZNF23
ZNF24,16,ZNF24
ZKSCAN1,22,ZKSCAN1
ZNF25,6,ZNF25
ZNF26,2,ZNF26
ZNF37A,5,ZNF37A
ZNF28,15,ZNF28
ZNF3,12,ZNF3
ZNF43,16,ZNF43
ZNF30,9,ZNF30
ZSCAN20,15,ZSCAN20
ZNF32,3,ZNF32
HSPA6,20,HSPA6
RHOQ,1,RHOQ
HMGA1,21,HMGA1
ZNF7,8,ZNF7
ZNF8,12,ZNF8
TMEM11,3,TMEM11
GOT1,18,GOT1
IFNAR1,6,IFNAR1
BPI,1,BPI
PRKCA,32,PRKCA
JUNB,12,JUNB
ITGA2,12,ITGA2
GJA1,29,GJA1
NPR3.00,4,NPR3.00
SMPD1,2,SMPD1
UBTF,24,UBTF
HOXB8,3,HOXB8
HOXB4,8,HOXB4
HOXB6,6,HOXB6
AKR1C4,1,AKR1C4
JUND,18,JUND
CTRB1,1,CTRB1
CKMT2,20,CKMT2
TAL1,3,TAL1
ATF7,45,ATF7
NDUFB7,2,NDUFB7
SYN1,31,SYN1
PRKACA,16,PRKACA
TYRP1,1,TYRP1
CAPN2,9,CAPN2
KCNA6,3,KCNA6
DES,32,DES
CEBPB,15,CEBPB
GAP43,21,GAP43
HLA-G,1,HLA-G
PTPN2,7,PTPN2
AMD1,1,AMD1
TAT,2,TAT
TPH1,5,TPH1
CHRNB2,1,CHRNB2
CTPS1,24,CTPS1
ENG,3,ENG
DDX5,27,DDX5
PFKL,24,PFKL
XBP1,3,XBP1
GM2A,3,GM2A
CR1,13,CR1
LGALS3,1,LGALS3
IGFBP3,7,IGFBP3
SPI1,1,SPI1
FLT1,8,FLT1
PSMC3,14,PSMC3
TCP1,23,TCP1
PTPN1,23,PTPN1
ALOX12,8,ALOX12
IGFBP2,1,IGFBP2
ERCC2,4,ERCC2
BMP7,2,BMP7
RPL35A,5,RPL35A
ITGB5,20,ITGB5
ARF4,3,ARF4
ADRA2B,4,ADRA2B
RPL7,8,RPL7
EGR1,8,EGR1
VCL,58,VCL
GPX2,1,GPX2
PTPRA,15,PTPRA
NAT1,3,NAT1
GABRB1,2,GABRB1
IL1RN,1,IL1RN
ITGB6,2,ITGB6
RHCE,2,RHCE
SON,135,SON
NELFE,36,NELFE
RPL17,13,RPL17
LAG3,2,LAG3
PGAM1,11,PGAM1
RCC1,19,RCC1
ADRA2C,8,ADRA2C
SDC1,5,SDC1
ATF1,10,ATF1
ATF3,2,ATF3
ATF4,3,ATF4
ATF6,12,ATF6
LIG1,58,LIG1
ATP5J,2,ATP5J
XRCC1,49,XRCC1
KRT15,14,KRT15
KRT4,10,KRT4
PAM,12,PAM
CDH2,8,CDH2
GNAZ,4,GNAZ
GNAT2,4,GNAT2
MYL12A,9,MYL12A
HDC,3,HDC
PLCG1,33,PLCG1
TNNI1,11,TNNI1
CD58,1,CD58
VCAM1,3,VCAM1
NCL,54,NCL
HK1,14,HK1
POLR2C,6,POLR2C
POLR2E,3,POLR2E
NDUFV2,2,NDUFV2
ELK1,16,ELK1
TNNI3,2,TNNI3
TNFRSF1A,3,TNFRSF1A
ERCC3,13,ERCC3
TRIM21,3,TRIM21
TFEB,28,TFEB
EIF2AK2,18,EIF2AK2
TFE3,21,TFE3
WT1,1,WT1
EN2,5,EN2
SRM,1,SRM
SLC9A1,30,SLC9A1
CSNK2A2,12,CSNK2A2
RXRA,7,RXRA
AOC1,2,AOC1
ITIH2,24,ITIH2
ITIH1,5,ITIH1
CEL,3,CEL
NFKB1,18,NFKB1
CXCL2,2,CXCL2
CXCL3,1,CXCL3
NCF2,11,NCF2
FST,2,FST
PI3,1,PI3
AMY2B,6,AMY2B
TYMP,9,TYMP
ATP2B1,34,ATP2B1
CR2,6,CR2
EIF2S2,18,EIF2S2
TCN1,2,TCN1
TCN2,3,TCN2
ANXA7,15,ANXA7
SDS,1,SDS
CD33,8,CD33
PGC,3,PGC
AZU1,2,AZU1
TBP,2,TBP
TPSB2,1,TPSB2
CCNA2,2,CCNA2
POU3F3,7,POU3F3
POU3F2,10,POU3F2
CD22,7,CD22
BTF3,15,BTF3
ALOX5AP,1,ALOX5AP
CHRM3,9,CHRM3
TNFRSF1B,8,TNFRSF1B
RAB3A,5,RAB3A
RAB3B,7,RAB3B
RAB4A,4,RAB4A
RAB5A,6,RAB5A
RAB6A,15,RAB6A
TAC1,1,TAC1
PMCH,1,PMCH
NR1D1,5,NR1D1
PVALB,2,PVALB
MSH3,8,MSH3
MX1,3,MX1
MX2,3,MX2
NPR2.00,6,NPR2.00
PSMB1,12,PSMB1
M6PR,2,M6PR
ATP4A,10,ATP4A
HIST1H2AD,7,HIST1H2AD
COX5A,3,COX5A
LMNB1,45,LMNB1
ITGAL,7,ITGAL
ITGAX,1,ITGAX
GZMH,1,GZMH
HOXA5,7,HOXA5
PZP,11,PZP
BCL3,11,BCL3
NTF3,4,NTF3
MAK,7,MAK
CAPN3,7,CAPN3
CAST,151,CAST
HNF1A,3,HNF1A
IMPDH1,17,IMPDH1
SERPINA2,1,SERPINA2
CYP2A7,3,CYP2A7
COL5A1,7,COL5A1
MAG,3,MAG
NEB,323,NEB
FLG,103,FLG
AGA,2,AGA
RASA1,11,RASA1
PTMS,5,PTMS
CD247,13,CD247
PRPS1L1,9,PRPS1L1
CDK11B,45,CDK11B
ENDOU,1,ENDOU
FUT3,1,FUT3
PTN,1,PTN
GSTM3,6,GSTM3
ATP6V1B2,5,ATP6V1B2
ATP6V1C1,2,ATP6V1C1
CSRP1,10,CSRP1
FLNA,182,FLNA
NF1,55,NF1
MAOA,1,MAOA
ACO1,8,ACO1
ABCB4,4,ABCB4
S1PR1,2,S1PR1
FPR1,1,FPR1
ZNF10,4,ZNF10
AGXT,4,AGXT
CNR1,2,CNR1
SYT1,4,SYT1
TNFAIP3,24,TNFAIP3
KITLG,4,KITLG
NT5E,4,NT5E
TAF1,48,TAF1
EPHA1,13,EPHA1
DRD1,2,DRD1
C5AR1,9,C5AR1
TBXA2R,5,TBXA2R
MSR1,4,MSR1
VDAC1,35,VDAC1
FGFR2,13,FGFR2
IBSP,2,IBSP
RYR1,50,RYR1
CD72,2,CD72
ERBB3,30,ERBB3
SDHB,3,SDHB
DRD4,1,DRD4
CD9,2,CD9
MATN1,1,MATN1
BCKDHB,1,BCKDHB
COMT,5,COMT
TGM2,9,TGM2
KCNA3,2,KCNA3
BMP6,4,BMP6
MUT,3,MUT
OSBP,30,OSBP
PCMT1,3,PCMT1
LPO,5,LPO
FBL,8,FBL
RPS4Y1,3,RPS4Y1
GART,25,GART
TNXB,25,TNXB
CDH3,8,CDH3
PAICS,20,PAICS
ACHE,1,ACHE
IDS,2,IDS
SCP2,4,SCP2
UGT1A4,1,UGT1A4
UBA1,52,UBA1
GPX3,5,GPX3
NME2,12,NME2
ENPP1,7,ENPP1
USF1,5,USF1
FGFR4,12,FGFR4
KCNA5,3,KCNA5
GAL,2,GAL
HIST1H1T,13,HIST1H1T
SPRR1B,1,SPRR1B
SPRR2E,1,SPRR2E
SPRR2D,2,SPRR2D
ALAS2,8,ALAS2
FDXR,7,FDXR
FGFR3,15,FGFR3
PRKACG,4,PRKACG
HNRNPA2B1,37,HNRNPA2B1
RFX1,23,RFX1
CCNO,7,CCNO
CALB2,1,CALB2
CYP7A1,2,CYP7A1
CBL,39,CBL
PRKACB,16,PRKACB
UQCRC2,8,UQCRC2
SLC2A5,1,SLC2A5
TGM1,6,TGM1
NR4A1,10,NR4A1
CA4,5,CA4
GNLY,1,GNLY
AADAC,4,AADAC
EVI2A,6,EVI2A
FECH,3,FECH
LHCGR,2,LHCGR
MMP8,3,MMP8
MRC1,7,MRC1
XPA,1,XPA
AMPD1,15,AMPD1
CES1,2,CES1
FBLN1,6,FBLN1
TCEA1,21,TCEA1
PTGS1,2,PTGS1
ITGA6,17,ITGA6
SFPQ,24,SFPQ
TUBG1,3,TUBG1
KEL,3,KEL
CA6,2,CA6
PPIB,9,PPIB
HRC,33,HRC
ANOS1,1,ANOS1
ME2,1,ME2
GLDC,5,GLDC
WARS,13,WARS
RPS3,15,RPS3
GLRA2,1,GLRA2
GCSH,1,GCSH
RPS6KB1,15,RPS6KB1
JAK1,6,JAK1
PTPRB,38,PTPRB
PTPRD,5,PTPRD
PTPRE,15,PTPRE
PTPRG,14,PTPRG
PTPRZ1,10,PTPRZ1
SP100,52,SP100
MCC,35,MCC
TNFSF4,1,TNFSF4
NFYA,4,NFYA
OMG,1,OMG
AHCY,13,AHCY
HIST1H2BO,16,HIST1H2BO
CFL1,23,CFL1
BDNF,2,BDNF
EIF4B,86,EIF4B
ATP2B4,28,ATP2B4
ITPKA,8,ITPKA
DGKA,5,DGKA
PAX7,1,PAX7
PAX3,4,PAX3
VAMP1,1,VAMP1
GATA2,13,GATA2
GATA3,11,GATA3
CPT2,7,CPT2
DTYMK,2,DTYMK
RRM1,24,RRM1
PRPH2,2,PRPH2
FSHR,2,FSHR
CMA1,2,CMA1
IL32,5,IL32
LAMA2,18,LAMA2
FCAR,1,FCAR
ZBTB25,7,ZBTB25
GPT,8,GPT
COX7B,1,COX7B
MMP11,1,MMP11
CCND1,3,CCND1
CHM,5,CHM
KDELR1,3,KDELR1
IL4R,11,IL4R
NR2F2,4,NR2F2
GADD45A,1,GADD45A
EDNRB,2,EDNRB
EEF1B2,23,EEF1B2
ATP5F1,9,ATP5F1
TBXAS1,1,TBXAS1
AKAP5,15,AKAP5
IGFBP5,9,IGFBP5
ACP1,6,ACP1
PRKCH,16,PRKCH
ACAT1,7,ACAT1
TNC,18,TNC
MYL9,9,MYL9
CCNC,3,CCNC
CCNE1,8,CCNE1
POLR2A,76,POLR2A
CDK2,8,CDK2
CXCR1,3,CXCR1
CXCR2,1,CXCR2
APC,224,APC
FPR3,1,FPR3
FPR2,1,FPR2
GUCY2C,8,GUCY2C
GRK2,11,GRK2
EDNRA,3,EDNRA
PTAFR,2,PTAFR
ACKR3,6,ACKR3
F2R,14,F2R
MPZ,1,MPZ
MCM3,39,MCM3
NFYB,2,NFYB
AZGP1,1,AZGP1
MPST,10,MPST
LAMA1,15,LAMA1
RPS12,4,RPS12
BRD2,36,BRD2
FAS,17,FAS
YY1,14,YY1
DNAJB1,16,DNAJB1
DNAJB2,14,DNAJB2
ATP5F1A,23,ATP5F1A
PSMA1,14,PSMA1
PSMA2,20,PSMA2
PSMA3,17,PSMA3
PSMA4,12,PSMA4
S100P,8,S100P
UCP1,2,UCP1
NPY1R,1,NPY1R
COL5A3,2,COL5A3
CD40,2,CD40
NFKBIA,4,NFKBIA
ITGA3,16,ITGA3
ITGB7,8,ITGB7
PTX3,1,PTX3
MSN,31,MSN
PTPN3,45,PTPN3
DDX6,20,DDX6
CTNNA2,27,CTNNA2
DNMT1,44,DNMT1
PAX6,3,PAX6
U2AF2,20,U2AF2
RPL13,14,RPL13
CHML,7,CHML
ELAVL4,11,ELAVL4
HSD3B2,3,HSD3B2
IVD,2,IVD
CNTF,3,CNTF
S100A4,2,S100A4
HMGB2,14,HMGB2
PTBP1,27,PTBP1
TARS,20,TARS
VARS,28,VARS
EEF1G,21,EEF1G
ZFP36,18,ZFP36
PLN,4,PLN
CD27,2,CD27
IL3RA,2,IL3RA
CRYBB3,1,CRYBB3
ACVR2A,1,ACVR2A
STOM,8,STOM
AK4,3,AK4
PON1,6,PON1
ANXA13,5,ANXA13
MAOB,1,MAOB
YWHAQ,24,YWHAQ
MAPK3,6,MAPK3
MARK3,82,MARK3
ATP6V0C,1,ATP6V0C
G0S2,1,G0S2
CALML3,4,CALML3
GDF1,1,GDF1
ARNT,11,ARNT
RPL10,3,RPL10
COL8A1,2,COL8A1
RPA1,24,RPA1
APEX1,6,APEX1
CD82,1,CD82
DCK,13,DCK
CAD,40,CAD
CALR,10,CALR
PDE4A,46,PDE4A
MAP4,160,MAP4
CANX,14,CANX
CFP,3,CFP
IL1R2,1,IL1R2
PIK3R1,20,PIK3R1
ITPKB,44,ITPKB
PSMB8,8,PSMB8
PSMB9,1,PSMB9
PSMA5,7,PSMA5
PSMB4,12,PSMB4
PSMB6,7,PSMB6
PSMB5,15,PSMB5
GSTM2,4,GSTM2
HTR1D,2,HTR1D
HTR1B,3,HTR1B
HTR2A,1,HTR2A
ABCD3,8,ABCD3
TMOD1,2,TMOD1
SSFA2,133,SSFA2
LOX,10,LOX
ELK4,7,ELK4
CST5,1,CST5
CHAT,2,CHAT
NDUFS1,6,NDUFS1
HTR2C,3,HTR2C
NMBR,3,NMBR
POLD1,14,POLD1
TEAD1,5,TEAD1
HOXD9,5,HOXD9
HOXD10,4,HOXD10
MSX1,3,MSX1
SMARCA1,17,SMARCA1
GABRB3,1,GABRB3
GABRR2,3,GABRR2
MAPK1,6,MAPK1
MZF1,7,MZF1
RXRB,3,RXRB
ERCC5,52,ERCC5
RBL1,34,RBL1
GRN,6,GRN
PTPRM,14,PTPRM
LAP3,13,LAP3
CD34,6,CD34
CD38,4,CD38
TNFRSF8,13,TNFRSF8
CD1B,2,CD1B
S100A2,1,S100A2
PTPN4,4,PTPN4
GTF2E1,4,GTF2E1
GTF2E2,21,GTF2E2
PCSK1,9,PCSK1
PCSK6,2,PCSK6
TPP2,22,TPP2
IMPA1,6,IMPA1
ADORA2A,2,ADORA2A
CTGF,6,CTGF
EPHA2,36,EPHA2
EPHA3,16,EPHA3
EPHA8,4,EPHA8
EPHB2,25,EPHB2
PTPN6,23,PTPN6
SHC1,19,SHC1
MPG,10,MPG
CRABP2,1,CRABP2
ARID4A,56,ARID4A
KDM5A,35,KDM5A
LTK,1,LTK
S100G,1,S100G
COL4A5,3,COL4A5
TKT,37,TKT
IL12B,1,IL12B
CASP1,2,CASP1
NOS3,25,NOS3
NOS1,13,NOS1
SERPINB3,4,SERPINB3
LMOD1,15,LMOD1
RBMS1,17,RBMS1
PML,94,PML
TYK2,11,TYK2
SERPINA4,2,SERPINA4
EEF1D,33,EEF1D
OAS2,5,OAS2
CRABP1,3,CRABP1
PDHA2,10,PDHA2
CD40LG,2,CD40LG
MARCKS,29,MARCKS
AQP1,5,AQP1
CNGA1,5,CNGA1
GNA11,2,GNA11
ALDH4A1,2,ALDH4A1
PBLD,2,PBLD
ERP29,4,ERP29
PRDX6,7,PRDX6
C21orf33,2,C21orf33
BLVRB,5,BLVRB
PRDX5,4,PRDX5
DDT,2,DDT
PRDX3,5,PRDX3
ATP5F1D,3,ATP5F1D
RPL12,10,RPL12
ECHS1,2,ECHS1
CMPK1,7,CMPK1
PEBP1,14,PEBP1
PDIA3,31,PDIA3
PPP2R1A,12,PPP2R1A
PPP2R1B,2,PPP2R1B
CD6,1,CD6
CDC27,41,CDC27
FCER1G,11,FCER1G
CCND2,4,CCND2
CCND3,15,CCND3
WEE1,36,WEE1
CDC25A,13,CDC25A
CDC25B,31,CDC25B
CDC25C,36,CDC25C
PPIF,9,PPIF
BDKRB2,5,BDKRB2
NKTR,140,NKTR
NMT1,13,NMT1
HLA-F,3,HLA-F
AVPR2,1,AVPR2
HMOX2,10,HMOX2
ADSS,6,ADSS
AXL,22,AXL
SLC6A1,1,SLC6A1
LRPAP1,12,LRPAP1
OXTR,12,OXTR
ADSL,15,ADSL
PKLR,3,PKLR
CLIP1,81,CLIP1
SRI,4,SRI
GNA15,3,GNA15
GSTT1,1,GSTT1
SERPINB1,8,SERPINB1
GCH1,3,GCH1
SLC7A1,4,SLC7A1
ALDH1B1,1,ALDH1B1
ALDH3A1,5,ALDH3A1
SSTR1,1,SSTR1
POLR2B,15,POLR2B
CHRNB4,1,CHRNB4
HTR1F,1,HTR1F
GNRHR,1,GNRHR
CALCR,3,CALCR
NTSR1,9,NTSR1
NTS,2,NTS
LCN1,1,LCN1
SDHA,21,SDHA
CORO1A,8,CORO1A
GDI1,12,GDI1
S100A7,8,S100A7
MAPK4,5,MAPK4
MAT2A,12,MAT2A
HOXD3,3,HOXD3
HOXA10,6,HOXA10
HOXA7,3,HOXA7
HOXA9,8,HOXA9
HOXA11,2,HOXA11
HOXC8,2,HOXC8
HOXC9,2,HOXC9
HOXC13,1,HOXC13
HOXD11,4,HOXD11
PRKAR1B,11,PRKAR1B
PRKAR2B,7,PRKAR2B
CPS1,33,CPS1
RRM2,11,RRM2
FGF9,1,FGF9
SSTR4,1,SSTR4
CASQ1,5,CASQ1
SDC4,4,SDC4
TIA1,6,TIA1
FMO4,7,FMO4
FMO3,2,FMO3
HIVEP2,91,HIVEP2
SLC5A2,3,SLC5A2
SLC6A6,5,SLC6A6
GABRA5,2,GABRA5
SLC6A4,2,SLC6A4
DNAJA1,14,DNAJA1
AKT1,17,AKT1
AKT2,24,AKT2
IL2RG,6,IL2RG
UQCRC1,3,UQCRC1
HIBADH,6,HIBADH
ATIC,34,ATIC
HNRNPH3,16,HNRNPH3
HNRNPH1,29,HNRNPH1
CASP14,2,CASP14
YWHAB,22,YWHAB
SFN,16,SFN
STIP1,23,STIP1
S100A11,16,S100A11
FCGR2C,1,FCGR2C
L1CAM,35,L1CAM
INPP5B,6,INPP5B
PRDX2,9,PRDX2
ARRB2,4,ARRB2
GK,3,GK
CCKAR,1,CCKAR
CCKBR,2,CCKBR
VIPR1,4,VIPR1
OTX1,1,OTX1
OTX2,1,OTX2
CCR1,4,CCR1
GPR183,7,GPR183
CHRNA3,2,CHRNA3
GRK4,1,GRK4
CXCR5,2,CXCR5
FOXN2,2,FOXN2
CDA,1,CDA
DCTD,1,DCTD
PYCR1,10,PYCR1
SLC8A1,5,SLC8A1
GBP1,3,GBP1
GBP2,2,GBP2
ELF1,28,ELF1
SSTR3,2,SSTR3
HPD,3,HPD
GTF2H1,9,GTF2H1
STX2,2,STX2
IFNA8,2,IFNA8
DSG3,14,DSG3
CSF2RB,5,CSF2RB
ICAM3,4,ICAM3
RPL9,5,RPL9
CD70,2,CD70
CIITA,10,CIITA
ACSL1,8,ACSL1
CDH5,3,CDH5
KIF5B,29,KIF5B
CSTF2,15,CSTF2
LSP1,33,LSP1
CYP2C19,4,CYP2C19
DUT,16,DUT
GUCY1A2,3,GUCY1A2
ABCC1,24,ABCC1
CKS2,4,CKS2
CD80,1,CD80
S100A5,1,S100A5
S100A3,1,S100A3
HIST1H2BB,16,HIST1H2BB
ABCD1,7,ABCD1
MAN1A1,8,MAN1A1
KDELR2,1,KDELR2
TTK,47,TTK
MCM4,36,MCM4
MCM5,11,MCM5
MCM7,25,MCM7
RNASE4,1,RNASE4
NTF4,1,NTF4
SDC2,8,SDC2
BMP8B,1,BMP8B
SHMT1,9,SHMT1
SHMT2,13,SHMT2
GABRA3,3,GABRA3
EVI2B,12,EVI2B
EPHX2,1,EPHX2
RYK,2,RYK
HSPA1L,27,HSPA1L
HSPA4,43,HSPA4
GRK5,8,GRK5
MPI,1,MPI
HTR7,2,HTR7
CNR2,7,CNR2
TRHR,1,TRHR
BTC,1,BTC
PFN2,7,PFN2
USP6,21,USP6
CA5A,3,CA5A
CA8,2,CA8
CTNNA1,38,CTNNA1
CTNNB1,25,CTNNB1
BMI1,9,BMI1
PCGF2,2,PCGF2
NOS2,8,NOS2
PHB,11,PHB
PTPN7,10,PTPN7
SERPINB6,12,SERPINB6
NF2,17,NF2
RDX,11,RDX
RCVRN,2,RCVRN
RPA3,1,RPA3
SFTPD,2,SFTPD
RFC4,6,RFC4
RFC2,7,RFC2
RFC1,57,RFC1
RPL22,9,RPL22
GTF2F1,44,GTF2F1
SPR,6,SPR
ADM,4,ADM
SPRR1A,1,SPRR1A
SPRR2B,1,SPRR2B
SPRR2A,2,SPRR2A
SSTR5,1,SSTR5
ADRA1A,3,ADRA1A
PTGS2,3,PTGS2
HRH1,20,HRH1
ADRA1B,9,ADRA1B
OPRM1,7,OPRM1
RORA,1,RORA
PTGER4,13,PTGER4
APLNR,4,APLNR
THBS2,7,THBS2
THBS4,1,THBS4
HOXD13,1,HOXD13
DRD3,8,DRD3
SCN1A,15,SCN1A
SCN4A,8,SCN4A
UGT1A3,1,UGT1A3
UGT1A5,2,UGT1A5
CBS,13,CBS
CLCN1,3,CLCN1
KRT9,8,KRT9
MSX2,8,MSX2
FBN1,7,FBN1
FBN2,10,FBN2
GCK,3,GCK
PCK1,2,PCK1
IRS1,117,IRS1
AGL,27,AGL
MYH9,93,MYH9
MYH10,59,MYH10
TIE1,7,TIE1
COPB2,17,COPB2
ACTN2,51,ACTN2
SOAT1,7,SOAT1
ADD1,62,ADD1
ADD2,40,ADD2
BSG,9,BSG
TIMP3,1,TIMP3
GRK3,10,GRK3
FUS,13,FUS
NUP214,114,NUP214
DEK,36,DEK
CYLC1,3,CYLC1
ATP7B,17,ATP7B
HNF1B,9,HNF1B
SOX5,36,SOX5
SOX6,22,SOX6
SOX18,5,SOX18
SOX11,9,SOX11
MYH11,38,MYH11
GLRX,2,GLRX
ZNF93,14,ZNF93
CHKA,2,CHKA
PPM1A,5,PPM1A
AHR,7,AHR
KRT20,14,KRT20
KRT2,9,KRT2
PDE6B,1,PDE6B
HMGCL,7,HMGCL
FLT4,11,FLT4
KDR,18,KDR
PSMC2,9,PSMC2
SLC16A2,7,SLC16A2
CHI3L1,7,CHI3L1
GGT2,4,GGT2
GGT5,1,GGT5
GJA5,2,GJA5
GJC1,3,GJC1
TCF7,4,TCF7
ARL2.00,4,ARL2.00
ARL3.00,7,ARL3.00
MAP2K2,23,MAP2K2
ZNF76,3,ZNF76
UGT2B10,5,UGT2B10
ATP5F1C,8,ATP5F1C
ATP6V1E1,3,ATP6V1E1
CPOX,9,CPOX
ARR3,1,ARR3
RPL4,24,RPL4
NUDT1,3,NUDT1
LONP1,11,LONP1
PGM1,28,PGM1
PPP1CC,10,PPP1CC
FLT3,2,FLT3
BMPR1A,1,BMPR1A
ACVR1B,2,ACVR1B
TGFBR1,8,TGFBR1
GNL1,22,GNL1
LTBR,5,LTBR
SERPINB5,14,SERPINB5
POLR2I,7,POLR2I
SERPINF1,2,SERPINF1
SREBF1,13,SREBF1
DLST,1,DLST
GMPR,1,GMPR
GPX4,1,GPX4
CFHR2,2,CFHR2
ACVRL1,3,ACVRL1
HSD17B2,1,HSD17B2
SCNN1A,11,SCNN1A
SRP14,11,SRP14
TGFBR2,8,TGFBR2
NUP62,9,NUP62
PPARG,3,PPARG
HPCAL1,4,HPCAL1
FDFT1,4,FDFT1
ZEB1,64,ZEB1
PIGA,5,PIGA
AVPR1A,9,AVPR1A
TAGLN2,12,TAGLN2
TALDO1,10,TALDO1
SNCA,4,SNCA
ETFB,9,ETFB
RBMX,82,RBMX
BRCA1,100,BRCA1
GNAL,2,GNAL
COIL,43,COIL
GGCX,8,GGCX
IFNGR2,6,IFNGR2
SPAM1,1,SPAM1
ITGAE,7,ITGAE
LIPA,2,LIPA
ATP6V1A,13,ATP6V1A
HSPA9,40,HSPA9
EIF4A3,16,EIF4A3
IGHMBP2,10,IGHMBP2
CDKN1A,6,CDKN1A
RPS19,6,RPS19
RPL3,14,RPL3
COL15A1,3,COL15A1
COL18A1,5,COL18A1
GRIK1,3,GRIK1
DDOST,3,DDOST
ANP32A,10,ANP32A
FEN1,17,FEN1
CUX1,76,CUX1
MMP12,1,MMP12
CAPG,12,CAPG
CAP2,18,CAP2
DCT,5,DCT
ADCY8,3,ADCY8
IL6ST,18,IL6ST
GP5,5,GP5
CEACAM3,2,CEACAM3
CD96,5,CD96
TXLNA,23,TXLNA
CCT6A,17,CCT6A
MPL,1,MPL
CD79B,4,CD79B
NNMT,2,NNMT
PSMB10,6,PSMB10
CTRL,3,CTRL
VHL,3,VHL
ADH7,1,ADH7
PBX1,7,PBX1
