Genes,PhosNo,Norm_Symbol
GOLGA8O,11,GOLGA8O
KLHL33,2,KLHL33
MAGEA13P,2,MAGEA13P
VWA3A,13,VWA3A
C2orf78,9,C2orf78
TRIM43B,1,TRIM43B
ANKRD33B,6,ANKRD33B
IQCA1L,6,IQCA1L
KRT87P,3,KRT87P
RNF222,2,RNF222
NKX2-6,1,NKX2-6
C2orf72,3,C2orf72
OR6C74,1,OR6C74
IZUMO1R,2,IZUMO1R
FAM83G,26,FAM83G
OR14I1,1,OR14I1
ASPDH,6,ASPDH
LRIT2,2,LRIT2
PALM3,23,PALM3
RBMY1B,1,RBMY1B
GAGE12H,2,GAGE12H
PGP,3,PGP
GOLGA6C,4,GOLGA6C
METTL21EP,1,METTL21EP
GOLGA6B,4,GOLGA6B
TBC1D3B,2,TBC1D3B
C5orf51,5,C5orf51
TMEM8B,4,TMEM8B
ZNF840P,3,ZNF840P
FAM90A10P,6,FAM90A10P
FAM186A,14,FAM186A
FAM90A18P,6,FAM90A18P
WDR97,8,WDR97
NPEPPSL1,5,NPEPPSL1
RCCD1,3,RCCD1
PLEKHD1,1,PLEKHD1
GOLGA6L4,2,GOLGA6L4
TMEM247,1,TMEM247
ARRDC5,2,ARRDC5
SOWAHB,22,SOWAHB
GOLGA6L9,1,GOLGA6L9
RBMY1E,1,RBMY1E
FAM181B,5,FAM181B
TBC1D3F,2,TBC1D3F
GAGE12J,2,GAGE12J
MROH2A,6,MROH2A
OR5K3,5,OR5K3
PRR23A,1,PRR23A
FAM90A16P,5,FAM90A16P
GOLGA6L3,1,GOLGA6L3
PRORSD1P,2,PRORSD1P
POM121B,24,POM121B
CCDC182,3,CCDC182
OR6C6,3,OR6C6
FAM205C,1,FAM205C
TRABD2B,1,TRABD2B
OR2W5,1,OR2W5
EFCAB10,1,EFCAB10
FABP12,7,FABP12
ZNF316,24,ZNF316
GRXCR2,1,GRXCR2
RBFOX3,2,RBFOX3
ANKUB1,4,ANKUB1
TCAF2,2,TCAF2
DPRX,2,DPRX
C5orf60,15,C5orf60
MFSD2B,4,MFSD2B
NEMP2,1,NEMP2
MGAT4D,2,MGAT4D
WIPF3,14,WIPF3
ZSCAN5C,1,ZSCAN5C
DCAF8L1,2,DCAF8L1
URAD,1,URAD
C2orf71,14,C2orf71
ANKRD61,1,ANKRD61
TRIM64,2,TRIM64
PRAMEF25,1,PRAMEF25
MROH6,6,MROH6
STRCP1,5,STRCP1
GLTPD2,2,GLTPD2
DNAJC9-AS1,1,DNAJC9-AS1
SERINC4,2,SERINC4
DDTL,1,DDTL
ZNF860,7,ZNF860
TUBAL3,9,TUBAL3
OTOL1,1,OTOL1
SPDYE2B,1,SPDYE2B
