Parent	Child	EdgeType
integral component of presynaptic membrane	SLC6A11	Gene-Term
integral component of postsynaptic membrane	SLC6A11	Gene-Term
postsynaptic density	ABI1	Gene-Term
integral component of postsynaptic membrane	SLC1A6	Gene-Term
integral component of postsynaptic membrane	SLC6A8	Gene-Term
perisynaptic extracellular matrix	ACAN	Gene-Term
perisynaptic extracellular matrix	TNC	Gene-Term
perisynaptic extracellular matrix	TNR	Gene-Term
integral component of synaptic vesicle membrane	SLC6A7	Gene-Term
integral component of presynaptic membrane	SLC6A7	Gene-Term
synapse	NCAN	Gene-Term
synapse	VCAN	Gene-Term
synapse	PTPRZ1	Gene-Term
integral component of presynaptic membrane	SLC1A6	Gene-Term
integral component of postsynaptic membrane	SLC1A7	Gene-Term
integral component of presynaptic membrane	SLC1A7	Gene-Term
integral component of presynaptic mitochondrial membrane	CNR1	Gene-Term
integral component of postsynaptic membrane	P2RX1	Gene-Term
integral component of presynaptic membrane	P2RX3	Gene-Term
postsynapse	PFN2	Gene-Term
synapse	ACTBL2	Gene-Term
synapse	ACTC1	Gene-Term
synapse	ARPC2	Gene-Term
synapse	ARPC5L	Gene-Term
synaptic membrane	ANXA1	Gene-Term
integral component of presynaptic membrane	CNR1	Gene-Term
integral component of presynaptic membrane	CACNA1C	Gene-Term
postsynaptic actin cytoskeleton	ACTB	Gene-Term
postsynaptic actin cytoskeleton	ACTG1	Gene-Term
integral component of postsynaptic membrane	SLC6A6	Gene-Term
integral component of presynaptic membrane	SLC6A4	Gene-Term
integral component of postsynaptic membrane	SLC6A4	Gene-Term
presynapse	PFN2	Gene-Term
synaptic cleft	LGI1	Gene-Term
integral component of presynaptic membrane	ADAM23	Gene-Term
postsynaptic cytoskeleton	MARCKS	Gene-Term
presynaptic cytosol	MARCKS	Gene-Term
anchored component of presynaptic membrane	MARCKS	Gene-Term
anchored component of postsynaptic membrane	MARCKS	Gene-Term
anchored component of presynaptic membrane	MARCKSL1	Gene-Term
synaptic vesicle	MARCKSL1	Gene-Term
presynaptic cytosol	MARCKSL1	Gene-Term
integral component of postsynaptic membrane	SLC6A3	Gene-Term
integral component of presynaptic membrane	SLC6A3	Gene-Term
postsynaptic density	STAT3	Gene-Term
extrinsic component of postsynaptic density membrane	RNF10	Gene-Term
integral component of postsynaptic membrane	SLC8A1	Gene-Term
integral component of postsynaptic membrane	SLC8A2	Gene-Term
integral component of postsynaptic membrane	SLC8A3	Gene-Term
integral component of presynaptic membrane	PTPRS	Gene-Term
postsynaptic intermediate filament cytoskeleton	INA	Gene-Term
postsynaptic cytosol	HAP1	Gene-Term
integral component of presynaptic membrane	SLC6A2	Gene-Term
integral component of synaptic vesicle membrane	SLC6A2	Gene-Term
integral component of synaptic vesicle membrane	SLC18A3	Gene-Term
extrinsic component of presynaptic membrane	CYTH1	Gene-Term
extrinsic component of postsynaptic specialization membrane	CYTH2	Gene-Term
integral component of presynaptic membrane	OPRK1	Gene-Term
integral component of synaptic vesicle membrane	OPRK1	Gene-Term
integral component of postsynaptic membrane	OPRK1	Gene-Term
integral component of presynaptic membrane	OPRM1	Gene-Term
synaptic vesicle membrane	DTNBP1	Gene-Term
postsynaptic density	DTNBP1	Gene-Term
presynaptic active zone membrane	APBA1	Gene-Term
integral component of postsynaptic membrane	OPRM1	Gene-Term
spine apparatus	OPRM1	Gene-Term
spine apparatus	OPRD1	Gene-Term
integral component of postsynaptic density membrane	OPRD1	Gene-Term
integral component of synaptic vesicle membrane	OPRD1	Gene-Term
neuronal dense core vesicle	OPRD1	Gene-Term
integral component of presynaptic membrane	OPRD1	Gene-Term
presynapse	APBB1	Gene-Term
postsynaptic cytosol	CALB1	Gene-Term
presynaptic cytosol	CALB1	Gene-Term
presynaptic cytosol	CAMK2A	Gene-Term
postsynaptic cytosol	CAMK2A	Gene-Term
postsynaptic density	CAMK2B	Gene-Term
postsynaptic density	CAMK2A	Gene-Term
presynapse	PFN1	Gene-Term
postsynapse	PFN1	Gene-Term
postsynaptic density	CHMP2B	Gene-Term
postsynaptic specialization	ERBIN	Gene-Term
integral component of presynaptic membrane	NRXN1	Gene-Term
presynaptic active zone	CNTNAP1	Gene-Term
integral component of presynaptic membrane	NRXN1	Gene-Term
presynapse	DOCK1	Gene-Term
integral component of presynaptic membrane	ATP1A3	Gene-Term
postsynapse	ATP1A3	Gene-Term
synapse	CAPRIN1	Gene-Term
synapse	TSC2	Gene-Term
synapse	QKI	Gene-Term
presynapse	PPP1R9A	Gene-Term
postsynaptic density	PPP1R9A	Gene-Term
postsynaptic density	PPP1R9B	Gene-Term
postsynaptic density	PLCB4	Gene-Term
postsynaptic SER	PLCB4	Gene-Term
integral component of postsynaptic specialization membrane	P2RX6	Gene-Term
integral component of synaptic vesicle membrane	SYPL1	Gene-Term
synaptic vesicle	ATG9A	Gene-Term
presynaptic active zone cytoplasmic component	CTBP1	Gene-Term
postsynapse	CAMK4	Gene-Term
postsynaptic density	EPS8	Gene-Term
synapse	PPFIA2	Gene-Term
synapse	PPFIA3	Gene-Term
synapse	PPFIA4	Gene-Term
anchored component of postsynaptic membrane	CNTN2	Gene-Term
presynapse	PPFIBP2	Gene-Term
extrinsic component of postsynaptic membrane	TENM2	Gene-Term
anchored component of presynaptic membrane	CNTN1	Gene-Term
anchored component of postsynaptic membrane	CNTN1	Gene-Term
synapse	LIN7A	Gene-Term
synapse	PLCXD3	Gene-Term
anchored component of presynaptic membrane	CNTN6	Gene-Term
presynapse	CDK5R1	Gene-Term
anchored component of presynaptic membrane	CNTN5	Gene-Term
presynaptic cytosol	CSNK2B	Gene-Term
synaptic vesicle	PDYN	Gene-Term
neuronal dense core vesicle lumen	PDYN	Gene-Term
neuronal dense core vesicle lumen	PENK	Gene-Term
synaptic vesicle lumen	PENK	Gene-Term
synapse	PPP2R1A	Gene-Term
synapse	PPP2R1B	Gene-Term
postsynaptic cytosol	ALDOC	Gene-Term
integral component of postsynaptic membrane	CHRM1	Gene-Term
postsynaptic density	CAMK1	Gene-Term
postsynaptic density	DYNLL2	Gene-Term
postsynaptic actin cytoskeleton	MYO5A	Gene-Term
postsynaptic actin cytoskeleton	MYO5B	Gene-Term
postsynaptic density	MYO6	Gene-Term
postsynaptic density, intracellular component	AKAP5	Gene-Term
presynapse	GIPC1	Gene-Term
postsynapse	GIPC1	Gene-Term
presynaptic endocytic zone	MYO6	Gene-Term
postsynaptic density, intracellular component	CTNNA2	Gene-Term
integral component of synaptic vesicle membrane	ATP8A1	Gene-Term
presynaptic active zone cytoplasmic component	CTNNA2	Gene-Term
postsynaptic actin cytoskeleton	CTTN	Gene-Term
postsynaptic intermediate filament cytoskeleton	NEFM	Gene-Term
postsynaptic density, intracellular component	CTNNB1	Gene-Term
presynaptic active zone cytoplasmic component	CTNNB1	Gene-Term
presynaptic intermediate filament cytoskeleton	NEFM	Gene-Term
extracellular matrix of synaptic cleft	SPARCL1	Gene-Term
integral component of presynaptic membrane	ADORA1	Gene-Term
integral component of postsynaptic membrane	ADORA1	Gene-Term
integral component of presynaptic membrane	ADORA2A	Gene-Term
presynapse	SEPT3	Gene-Term
integral component of postsynaptic membrane	ADORA2A	Gene-Term
integral component of presynaptic membrane	ADGRL1	Gene-Term
integral component of presynaptic active zone membrane	CHRM2	Gene-Term
synapse	RELA	Gene-Term
postsynapse	WLS	Gene-Term
presynaptic cytosol	PPP3CC	Gene-Term
presynapse	SEPT5	Gene-Term
presynapse	SEPT6	Gene-Term
presynaptic membrane	SEPT7	Gene-Term
integral component of presynaptic membrane	WLS	Gene-Term
integral component of presynaptic membrane	PSEN1	Gene-Term
integral component of presynaptic membrane	PSEN2	Gene-Term
integral component of presynaptic membrane	NCSTN	Gene-Term
integral component of presynaptic membrane	PSENEN	Gene-Term
integral component of presynaptic membrane	APH1A	Gene-Term
postsynaptic SER	PSEN1	Gene-Term
postsynaptic density	CTNND2	Gene-Term
presynapse	FLOT1	Gene-Term
synaptic vesicle membrane	SNCA	Gene-Term
postsynaptic density	EGLN1	Gene-Term
postsynaptic specialization of symmetric synapse	IQSEC3	Gene-Term
postsynaptic density, intracellular component	IQSEC2	Gene-Term
presynaptic active zone cytoplasmic component	IQSEC2	Gene-Term
presynaptic active zone	APP	Gene-Term
postsynaptic density, intracellular component	IQSEC1	Gene-Term
integral component of postsynaptic membrane	CDH2	Gene-Term
synapse	CDH23	Gene-Term
synapse	PPP3CA	Gene-Term
synapse	PPP3CB	Gene-Term
synaptic membrane	CDH8	Gene-Term
integral component of presynaptic membrane	ADRA1A	Gene-Term
integral component of postsynaptic membrane	ADRA1A	Gene-Term
synaptic membrane	CALB2	Gene-Term
postsynaptic density	SLC6A9	Gene-Term
integral component of presynaptic membrane	SLC6A9	Gene-Term
presynapse	PCDH15	Gene-Term
integral component of postsynaptic density membrane	ADRA2A	Gene-Term
integral component of postsynaptic membrane	ADRA2A	Gene-Term
integral component of presynaptic active zone membrane	ADRA2A	Gene-Term
integral component of presynaptic membrane	PCDH17	Gene-Term
integral component of postsynaptic density membrane	ADRA2C	Gene-Term
integral component of postsynaptic membrane	ADRA2C	Gene-Term
integral component of synaptic vesicle membrane	MAL2	Gene-Term
extrinsic component of synaptic vesicle membrane	SGTA	Gene-Term
integral component of synaptic vesicle membrane	SLC30A3	Gene-Term
integral component of synaptic vesicle membrane	SLC18A3	Gene-Term
integral component of presynaptic membrane	GRIK1	Gene-Term
integral component of presynaptic membrane	GRIK4	Gene-Term
integral component of presynaptic membrane	GRIK5	Gene-Term
integral component of presynaptic active zone membrane	GRM7	Gene-Term
integral component of presynaptic membrane	GRIK4	Gene-Term
integral component of presynaptic membrane	GRIK5	Gene-Term
presynapse	SLC29A1	Gene-Term
postsynapse	SLC29A1	Gene-Term
integral component of presynaptic membrane	HTR3A	Gene-Term
integral component of synaptic vesicle membrane	SYP	Gene-Term
postsynaptic density	MAPK1	Gene-Term
presynaptic cytosol	STXBP5	Gene-Term
presynapse	SPTBN2	Gene-Term
extrinsic component of presynaptic membrane	STXBP5	Gene-Term
postsynaptic density	MAP2K1	Gene-Term
integral component of synaptic membrane	SYT3	Gene-Term
integral component of synaptic membrane	SYT6	Gene-Term
synapse	ADORA2B	Gene-Term
integral component of neuronal dense core vesicle membrane	SYT4	Gene-Term
integral component of neuronal dense core vesicle membrane	SYT4	Gene-Term
neuronal dense core vesicle	SLC18A2	Gene-Term
synapse	ADORA3	Gene-Term
extrinsic component of synaptic vesicle membrane	SYN3	Gene-Term
extrinsic component of synaptic vesicle membrane	SYN2	Gene-Term
integral component of synaptic vesicle membrane	SCAMP5	Gene-Term
integral component of synaptic vesicle membrane	STX1A	Gene-Term
integral component of presynaptic membrane	STX1A	Gene-Term
integral component of synaptic vesicle membrane	SYNGR1	Gene-Term
synaptic vesicle	SYNGR3	Gene-Term
integral component of synaptic vesicle membrane	SLC32A1	Gene-Term
integral component of synaptic vesicle membrane	SLC6A7	Gene-Term
integral component of synaptic vesicle membrane	SYNPR	Gene-Term
presynapse	STXBP3	Gene-Term
postsynapse	STX4	Gene-Term
integral component of presynaptic membrane	GLRA3	Gene-Term
integral component of presynaptic membrane	GLRA1	Gene-Term
integral component of presynaptic active zone membrane	GRIA2	Gene-Term
integral component of presynaptic membrane	GRIA1	Gene-Term
integral component of presynaptic membrane	GRIA2	Gene-Term
integral component of presynaptic membrane	GRIA3	Gene-Term
integral component of postsynaptic membrane	GRIA1	Gene-Term
integral component of postsynaptic membrane	GRIA2	Gene-Term
integral component of postsynaptic membrane	GRIA3	Gene-Term
integral component of postsynaptic membrane	GRIK5	Gene-Term
integral component of presynaptic membrane	GRIK5	Gene-Term
integral component of presynaptic active zone membrane	GRIA1	Gene-Term
integral component of presynaptic active zone membrane	GRIA4	Gene-Term
integral component of postsynaptic density membrane	GRIA1	Gene-Term
integral component of presynaptic membrane	GRIA2	Gene-Term
presynaptic active zone	SNAP47	Gene-Term
integral component of synaptic vesicle membrane	PTPRN2	Gene-Term
synaptic vesicle	VPS45	Gene-Term
extrinsic component of synaptic vesicle membrane	SYN1	Gene-Term
extrinsic component of synaptic vesicle membrane	SYN2	Gene-Term
extrinsic component of synaptic vesicle membrane	SYN3	Gene-Term
integral component of synaptic vesicle membrane	SV2B	Gene-Term
integral component of synaptic vesicle membrane	SV2A	Gene-Term
integral component of synaptic vesicle membrane	SV2C	Gene-Term
synaptic vesicle	EXOC4	Gene-Term
synaptic vesicle	SEC22B	Gene-Term
integral component of synaptic vesicle membrane	STX16	Gene-Term
integral component of synaptic vesicle membrane	STX6	Gene-Term
integral component of synaptic vesicle membrane	STX7	Gene-Term
synaptic vesicle	VPS33B	Gene-Term
integral component of synaptic vesicle membrane	WFS1	Gene-Term
integral component of synaptic vesicle membrane	LAMP1	Gene-Term
integral component of synaptic vesicle membrane	STX12	Gene-Term
integral component of synaptic vesicle membrane	STX1A	Gene-Term
integral component of postsynaptic specialization membrane	GABRA3	Gene-Term
synaptic vesicle	STXBP5	Gene-Term
integral component of presynaptic membrane	GABBR1	Gene-Term
integral component of presynaptic active zone membrane	GABRA3	Gene-Term
extrinsic component of neuronal dense core vesicle membrane	STXBP5	Gene-Term
neuronal dense core vesicle	STXBP5L	Gene-Term
integral component of presynaptic membrane	GABRA5	Gene-Term
integral component of postsynaptic specialization membrane	GABRA5	Gene-Term
integral component of synaptic vesicle membrane	STX6	Gene-Term
integral component of presynaptic active zone membrane	GABRA2	Gene-Term
integral component of postsynaptic specialization membrane	GABRA2	Gene-Term
integral component of presynaptic active zone membrane	GABRB1	Gene-Term
integral component of postsynaptic specialization membrane	GABRB1	Gene-Term
integral component of presynaptic active zone membrane	GABRB2	Gene-Term
integral component of postsynaptic specialization membrane	GABRB2	Gene-Term
postsynaptic intermediate filament cytoskeleton	NEFL	Gene-Term
postsynaptic intermediate filament cytoskeleton	NEFH	Gene-Term
postsynapse	NSMF	Gene-Term
postsynaptic density, intracellular component	ANKS1B	Gene-Term
integral component of postsynaptic specialization membrane	GABRA6	Gene-Term
integral component of postsynaptic specialization membrane	GABRA1	Gene-Term
integral component of presynaptic membrane	CDH9	Gene-Term
integral component of postsynaptic membrane	CDH9	Gene-Term
integral component of presynaptic membrane	SYT7	Gene-Term
postsynapse	JAK2	Gene-Term
postsynapse	CAPRIN1	Gene-Term
postsynapse	RPL8	Gene-Term
postsynapse	RPLP0	Gene-Term
postsynaptic density	RPL5	Gene-Term
integral component of postsynaptic membrane	PCDH17	Gene-Term
integral component of presynaptic membrane	SCN1A	Gene-Term
postsynapse	PURA	Gene-Term
postsynapse	CPEB4	Gene-Term
integral component of presynaptic membrane	GRIN1	Gene-Term
integral component of presynaptic membrane	GRIN2A	Gene-Term
integral component of presynaptic membrane	GRIN2B	Gene-Term
postsynapse	EIF4E	Gene-Term
postsynapse	EIF4E	Gene-Term
postsynapse	PSD2	Gene-Term
postsynaptic density membrane	IQSEC2	Gene-Term
extrinsic component of presynaptic endocytic zone membrane	EPN1	Gene-Term
extrinsic component of presynaptic endocytic zone membrane	EPS15L1	Gene-Term
extrinsic component of presynaptic endocytic zone membrane	EPS15	Gene-Term
postsynapse	EIF4B	Gene-Term
postsynaptic cytosol	EIF4EBP1	Gene-Term
postsynapse	EIF4EBP2	Gene-Term
postsynaptic density	ARF1	Gene-Term
postsynapse	PAK1	Gene-Term
postsynaptic specialization of symmetric synapse	IQSEC3	Gene-Term
integral component of presynaptic membrane	GRIN2D	Gene-Term
integral component of synaptic vesicle membrane	VAMP3	Gene-Term
integral component of presynaptic active zone membrane	GRIN1	Gene-Term
integral component of presynaptic active zone membrane	GRIN2B	Gene-Term
integral component of presynaptic active zone membrane	GRIN2D	Gene-Term
integral component of presynaptic active zone membrane	GRIN3B	Gene-Term
extrinsic component of neuronal dense core vesicle membrane	STXBP5	Gene-Term
presynapse	STXBP5	Gene-Term
presynapse	STXBP5	Gene-Term
extrinsic component of synaptic vesicle membrane	DOC2A	Gene-Term
extrinsic component of synaptic vesicle membrane	DOC2A	Gene-Term
extrinsic component of synaptic vesicle membrane	RPH3A	Gene-Term
extrinsic component of synaptic vesicle membrane	RPH3A	Gene-Term
integral component of postsynaptic density membrane	PLPPR4	Gene-Term
integral component of presynaptic active zone membrane	LPAR2	Gene-Term
integral component of presynaptic membrane	CHRNA7	Gene-Term
integral component of spine apparatus membrane	CHRNA7	Gene-Term
integral component of presynaptic membrane	CHRNA7	Gene-Term
integral component of presynaptic membrane	CHRNA4	Gene-Term
integral component of presynaptic membrane	CHRNA6	Gene-Term
integral component of presynaptic membrane	CHRNB2	Gene-Term
integral component of postsynaptic membrane	CHRNA6	Gene-Term
integral component of postsynaptic membrane	CHRNA7	Gene-Term
integral component of presynaptic membrane	CHRNA7	Gene-Term
integral component of presynaptic membrane	CHRNA6	Gene-Term
integral component of presynaptic membrane	CHRNB2	Gene-Term
integral component of postsynaptic membrane	CHRNA6	Gene-Term
integral component of postsynaptic membrane	CHRNA7	Gene-Term
integral component of presynaptic membrane	CHRNA4	Gene-Term
postsynaptic cytosol	DBN1	Gene-Term
postsynapse	ACTR2	Gene-Term
postsynapse	ACTR3	Gene-Term
postsynaptic spectrin-associated cytoskeleton	SPTBN2	Gene-Term
postsynaptic actin cytoskeleton	ITSN1	Gene-Term
integral component of presynaptic active zone membrane	KCNMA1	Gene-Term
postsynapse	PPP1R1B	Gene-Term
integral component of postsynaptic membrane	GRIK4	Gene-Term
integral component of postsynaptic density membrane	GRIK5	Gene-Term
integral component of postsynaptic membrane	HTR3A	Gene-Term
integral component of postsynaptic density membrane	GRIA2	Gene-Term
integral component of postsynaptic density membrane	GRIN1	Gene-Term
integral component of postsynaptic density membrane	GRIN2B	Gene-Term
integral component of postsynaptic density membrane	GRIN2D	Gene-Term
integral component of postsynaptic density membrane	GRIN3B	Gene-Term
presynaptic active zone cytoplasmic component	GUCY1B1	Gene-Term
integral component of postsynaptic density membrane	DCC	Gene-Term
integral component of postsynaptic membrane	GRM1	Gene-Term
perisynaptic extracellular matrix	BCAN	Gene-Term
postsynapse	SPTBN1	Gene-Term
integral component of postsynaptic membrane	HTR2A	Gene-Term
integral component of presynaptic membrane	HTR2A	Gene-Term
integral component of presynaptic membrane	HTR1A	Gene-Term
integral component of presynaptic membrane	HTR7	Gene-Term
integral component of postsynaptic membrane	HTR7	Gene-Term
integral component of presynaptic membrane	HTR1B	Gene-Term
synapse	RTN3	Gene-Term
integral component of neuronal dense core vesicle membrane	SLC18A2	Gene-Term
extrinsic component of synaptic vesicle membrane	BIN1	Gene-Term
integral component of presynaptic active zone membrane	KCNJ8	Gene-Term
integral component of presynaptic membrane	KCNJ11	Gene-Term
integral component of postsynaptic membrane	GRM3	Gene-Term
integral component of presynaptic active zone membrane	GRM4	Gene-Term
integral component of presynaptic membrane	GRM7	Gene-Term
integral component of presynaptic active zone membrane	GRM8	Gene-Term
integral component of presynaptic active zone membrane	GRM7	Gene-Term
integral component of presynaptic active zone membrane	CACNA1D	Gene-Term
integral component of presynaptic membrane	GABBR1	Gene-Term
postsynapse	EIF4G1	Gene-Term
postsynaptic cytosol	HNRNPA2B1	Gene-Term
postsynapse	HNRNPK	Gene-Term
postsynapse	CDH1	Gene-Term
integral component of postsynaptic density membrane	CHRNA7	Gene-Term
integral component of presynaptic membrane	CHRNA7	Gene-Term
postsynapse	INA	Gene-Term
integral component of synaptic vesicle membrane	SYT1	Gene-Term
integral component of synaptic vesicle membrane	SYT2	Gene-Term
presynapse	SEPT8	Gene-Term
postsynapse	SEPT11	Gene-Term
integral component of synaptic vesicle membrane	SYT9	Gene-Term
integral component of neuronal dense core vesicle membrane	SYT5	Gene-Term
postsynapse	CALB1	Gene-Term
synapse	ARHGDIA	Gene-Term
synapse	GDI2	Gene-Term
synapse	RPL8	Gene-Term
synapse	RPS13	Gene-Term
synapse	RPS13	Gene-Term
synapse	RPS23	Gene-Term
synapse	SLC3A2	Gene-Term
presynaptic cytosol	RAPH1	Gene-Term
synapse	AKR1A1	Gene-Term
postsynapse	INA	Gene-Term
synapse	APOA4	Gene-Term
synaptic cleft	CBLN1	Gene-Term
synapse	CLU	Gene-Term
integral component of postsynaptic membrane	CSPG5	Gene-Term
synapse	DPYSL3	Gene-Term
synapse	EEF1A2	Gene-Term
synapse	FGA	Gene-Term
synapse	FGB	Gene-Term
synapse	FGG	Gene-Term
postsynaptic density	ADGRA1	Gene-Term
postsynaptic density	PLEKHA5	Gene-Term
synapse	GPC1	Gene-Term
synapse	HAPLN1	Gene-Term
presynapse	DVL1	Gene-Term
presynapse	KALRN	Gene-Term
postsynaptic density	EPS8	Gene-Term
synapse	SPARC	Gene-Term
synapse	VGF	Gene-Term
integral component of postsynaptic membrane	GABBR1	Gene-Term
integral component of postsynaptic membrane	GABBR2	Gene-Term
presynaptic ribosome	RPL22	Gene-Term
presynaptic intermediate filament cytoskeleton	NEFL	Gene-Term
integral component of presynaptic membrane	VAPA	Gene-Term
postsynaptic density	SNAP47	Gene-Term
presynapse	AMPH	Gene-Term
extrinsic component of presynaptic endocytic zone membrane	PICALM	Gene-Term
postsynaptic density, intracellular component	DLGAP1	Gene-Term
postsynaptic specialization	DLGAP3	Gene-Term
presynapse	DNM3	Gene-Term
presynaptic endocytic zone	PACSIN1	Gene-Term
synapse	SH3GL2	Gene-Term
synapse	SH3GL1	Gene-Term
presynaptic endocytic zone membrane	DNM1	Gene-Term
presynaptic endocytic zone membrane	DNM1	Gene-Term
extrinsic component of presynaptic endocytic zone membrane	SNAP91	Gene-Term
presynaptic endocytic zone	ITSN1	Gene-Term
postsynaptic actin cytoskeleton	PPP1R9A	Gene-Term
postsynaptic specialization	DLGAP4	Gene-Term
postsynaptic specialization of symmetric synapse	SEPT11	Gene-Term
integral component of postsynaptic density membrane	EPHA7	Gene-Term
integral component of postsynaptic membrane	ADGRB1	Gene-Term
postsynapse	CAMKV	Gene-Term
integral component of presynaptic active zone membrane	P2RY1	Gene-Term
integral component of presynaptic active zone membrane	P2RY2	Gene-Term
integral component of presynaptic active zone membrane	P2RY4	Gene-Term
integral component of presynaptic active zone membrane	P2RX1	Gene-Term
integral component of presynaptic active zone membrane	P2RX2	Gene-Term
postsynaptic density, intracellular component	FYN	Gene-Term
integral component of postsynaptic density membrane	SLC16A3	Gene-Term
postsynaptic density, intracellular component	ARHGEF2	Gene-Term
presynapse	DGKQ	Gene-Term
postsynapse	DGKQ	Gene-Term
integral component of postsynaptic membrane	NRP2	Gene-Term
integral component of postsynaptic membrane	ADGRL2	Gene-Term
presynapse	HSPA8	Gene-Term
presynapse	EHD1	Gene-Term
postsynapse	ERBIN	Gene-Term
integral component of presynaptic membrane	ERBB4	Gene-Term
integral component of postsynaptic density membrane	ERBB4	Gene-Term
extrinsic component of postsynaptic membrane	FARP1	Gene-Term
integral component of presynaptic membrane	CDH2	Gene-Term
extrinsic component of postsynaptic membrane	CTNNA2	Gene-Term
extrinsic component of presynaptic membrane	CTNNA2	Gene-Term
presynaptic membrane	CTNNB1	Gene-Term
postsynaptic membrane	CTNNB1	Gene-Term
postsynaptic specialization, intracellular component	SRC	Gene-Term
postsynapse	GIT1	Gene-Term
postsynapse	HPCA	Gene-Term
postsynaptic density	GSK3B	Gene-Term
presynapse	STON2	Gene-Term
presynaptic endocytic zone membrane	DNM1L	Gene-Term
synaptic vesicle membrane	DNM1L	Gene-Term
postsynaptic actin cytoskeleton	MYO6	Gene-Term
postsynaptic specialization, intracellular component	NOS1	Gene-Term
postsynaptic recycling endosome membrane	MYO5B	Gene-Term
postsynaptic density, intracellular component	TNIK	Gene-Term
postsynapse	DYNLL2	Gene-Term
postsynaptic density membrane	ACTN2	Gene-Term
postsynaptic density, intracellular component	ACTN2	Gene-Term
postsynapse	SIPA1L1	Gene-Term
presynaptic endocytic zone membrane	CLTB	Gene-Term
presynaptic endocytic zone membrane	CLTA	Gene-Term
integral component of presynaptic membrane	SLC1A2	Gene-Term
integral component of postsynaptic density membrane	CACNG4	Gene-Term
integral component of postsynaptic density membrane	GSG1L	Gene-Term
integral component of postsynaptic density membrane	ADAM22	Gene-Term
integral component of postsynaptic membrane	NTRK3	Gene-Term
presynapse	TNIK	Gene-Term
postsynaptic density	EIF3A	Gene-Term
postsynaptic density	EIF4G2	Gene-Term
postsynaptic density	RPL18A	Gene-Term
postsynaptic density	RPL30	Gene-Term
postsynaptic density	RPS6KC1	Gene-Term
postsynaptic density	TSC1	Gene-Term
presynaptic active zone cytoplasmic component	GUCY1B1	Gene-Term
postsynaptic density	RPL8	Gene-Term
postsynaptic density	RPLP0	Gene-Term
postsynaptic density	RPL12	Gene-Term
postsynaptic density	RPL14	Gene-Term
postsynaptic density	RPL38	Gene-Term
postsynaptic density	RPL7	Gene-Term
postsynaptic density	RPS13	Gene-Term
postsynaptic density	RPS27	Gene-Term
postsynaptic density	RPS3	Gene-Term
postsynaptic density	RPS25	Gene-Term
postsynaptic density	RPS19	Gene-Term
postsynaptic density	RPS18	Gene-Term
postsynaptic density	RPS14	Gene-Term
postsynaptic density	PCBP2	Gene-Term
postsynaptic density	RPL4	Gene-Term
postsynaptic density	RPL23	Gene-Term
postsynaptic density	RPL10A	Gene-Term
postsynaptic density	RPL30	Gene-Term
postsynaptic density	RPL18A	Gene-Term
postsynaptic density	RPLP0	Gene-Term
postsynaptic density	PCBP2	Gene-Term
postsynaptic density	PURA	Gene-Term
postsynaptic density	HNRNPH2	Gene-Term
postsynaptic density	HNRNPH1	Gene-Term
postsynaptic density	HNRNPA3	Gene-Term
postsynaptic density	RPL6	Gene-Term
integral component of postsynaptic membrane	NRCAM	Gene-Term
synapse	PPP2CA	Gene-Term
postsynaptic density	RHEB	Gene-Term
synapse	GPC4	Gene-Term
synapse	GPC6	Gene-Term
synapse	PABPC1	Gene-Term
presynapse	PTN	Gene-Term
integral component of postsynaptic density membrane	RTN4	Gene-Term
integral component of presynaptic membrane	SLC6A1	Gene-Term
postsynaptic specialization, intracellular component	SRGN	Gene-Term
postsynapse	PLAT	Gene-Term
postsynaptic specialization, intracellular component	LYN	Gene-Term
postsynaptic specialization, intracellular component	YES1	Gene-Term
postsynaptic specialization, intracellular component	LCK	Gene-Term
integral component of presynaptic membrane	SLC6A11	Gene-Term
integral component of presynaptic membrane	GABBR2	Gene-Term
postsynaptic cytosol	EIF4E	Gene-Term
postsynaptic cytosol	MTOR	Gene-Term
postsynaptic membrane	DBN1	Gene-Term
postsynapse	PTN	Gene-Term
integral component of postsynaptic membrane	ABHD6	Gene-Term
integral component of presynaptic membrane	GRM3	Gene-Term
integral component of postsynaptic specialization membrane	HTR5A	Gene-Term
postsynaptic density, intracellular component	NOS1	Gene-Term
integral component of postsynaptic specialization membrane	CHRNA7	Gene-Term
integral component of presynaptic membrane	PRRT2	Gene-Term
postsynaptic density	DBN1	Gene-Term
postsynaptic membrane	DBN1	Gene-Term
presynapse	RTN4R	Gene-Term
neuronal dense core vesicle	PLAT	Gene-Term
synapse	PPP2R1A	Gene-Term
extrasynaptic space	PLAT	Gene-Term
postsynapse	PLAT	Gene-Term
integral component of presynaptic membrane	CHRNA4	Gene-Term
integral component of postsynaptic specialization membrane	CHRNA3	Gene-Term
integral component of postsynaptic specialization membrane	CHRNB2	Gene-Term
integral component of postsynaptic specialization membrane	CHRNA4	Gene-Term
integral component of postsynaptic specialization membrane	CHRNA3	Gene-Term
presynaptic endocytic zone	AMPH	Gene-Term
presynaptic cytosol	SH3GL2	Gene-Term
postsynapse	PICALM	Gene-Term
postsynaptic membrane	SNAP91	Gene-Term
integral component of postsynaptic specialization membrane	CHRNB2	Gene-Term
integral component of postsynaptic specialization membrane	CHRNA7	Gene-Term
integral component of postsynaptic specialization membrane	CHRNA7	Gene-Term
integral component of postsynaptic specialization membrane	CHRNA9	Gene-Term
integral component of postsynaptic specialization membrane	CHRNA10	Gene-Term
